ASV,Taxon,Confidence,LowestTaxonomy,Kingdom,Phylum,Class,Order,Family,Genus,HexColor,ColorOrder
8f31538229c87d0e4fc2ab73bf2b1822,d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group,0.963675119422378,g__Clostridia_vadinBB60_group,Bacteria,Firmicutes,Clostridia,Clostridia_vadinBB60_group,Clostridia_vadinBB60_group,Clostridia_vadinBB60_group,#BEA89A,76
8ff0b14fcdad8d68f354bcbbc3b882c8,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae,0.999982556802873,f__Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,76
90759f1ecb24f14900e5520c25d8be7c,d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__Deinococcus_geothermalis,0.999910266705936,s__Deinococcus_geothermalis,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,#D0D0D0,118
9109d7b1b2ad1bcce38a2d4b01054ae3,d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Oscillibacter,0.93256224141266,g__Oscillibacter,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,#CCB4A5,74
914a486bc38157145c9181fcf7e29a3a,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnoclostridium,0.98583029228533,g__Lachnoclostridium,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,#BEA89A,76
915952d60073ee8a55133c07a53f8f7f,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella,0.999941413047189,g__Legionella,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,#EE2C2C,97
91963b9642111e151c9b371afc4627a1,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__ASF356; s__uncultured_bacterium,0.988826016078098,s__uncultured_bacterium,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,ASF356,#BEA89A,76
9199c9f9bb7002e785848fdf3d09ba13,d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__Clostridia_UCG-014; g__Clostridia_UCG-014,0.999997060638533,g__Clostridia_UCG-014,Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,Clostridia_UCG-014,Clostridia_UCG-014,#BEA89A,76
91ad9d8d65c7aa22fc66df65ab884ed4,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Carnobacterium,0.995019144325719,g__Carnobacterium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,#5875DE,55
9215765422294fd7c58c6bf3429fb012,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae,0.99998222507912,f__Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,76
925003f32c8a14545b81eb4228fae391,d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae,0.997403911782048,f__Oscillospiraceae,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,<not present>,#BEA89A,76
92510395214f73b1de9a0e5dfdfba989,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Dermabacteraceae; g__Brachybacterium,0.991488116051604,g__Brachybacterium,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,#D0D0D0,118
92871ca7f042bd0b9f9d9608031baba8,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales,0.995138118268273,o__Lactobacillales,Bacteria,Firmicutes,Bacilli,Lactobacillales,<not present>,<not present>,#5875DE,55
92f13ddd25f41eadc332a17ce977f5b1,d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Sedimentibacteraceae; g__Sedimentibacter; s__Sedimentibacter_sp.,0.995843876342451,s__Sedimentibacter_sp.,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Sedimentibacteraceae,Sedimentibacter,#BEA89A,76
931b572a125df9a133f9766dfb5643a8,d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus; s__Paenibacillus_populi,0.922375410086476,s__Paenibacillus_populi,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,#5875DE,55
94e30534f622e456a683abe4e60fc214,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus,0.999971205778667,g__Lactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,#5875DE,55
95083ed7bc3b2a97a97a3ce2af35ec66,d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus,0.999845280716513,g__Bacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,#5875DE,55
9516b682f753f795fc375aa37243638f,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium,0.999308442139844,g__Cutibacterium,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,#D0D0D0,118
952a1cddece2bd4105cf04ac48248a78,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_UCG-001,0.870196315060526,g__Lachnospiraceae_UCG-001,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_UCG-001,#BEA89A,76
95303898441a67b191be23076f844da6,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aureimonas,0.955022832822891,g__Aureimonas,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,#EE2C2C,97
953cfc1acad265fe11023f84db7021b2,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae,0.969082081548926,f__Microbacteriaceae,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,<not present>,#D0D0D0,118
955633f56d97e69f65696820898d2b42,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae,0.999994723828386,f__Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,76
956892ddebcda8400ff38cdc81770696,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__uncultured_bacterium,0.979153630980191,s__uncultured_bacterium,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,#DDDDDD,107
9594ff6d927d12b1b47437332d226dad,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces,0.985342186541394,g__Streptomyces,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,#D0D0D0,118
959fd9521a0d82eeb92b44ad6062f12a,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_hominis,0.970947299321604,s__Lactobacillus_hominis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,#5875DE,55
95b7ce4480924cc8c3fbe6b066694744,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides,0.992013462696472,g__Bacteroides,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,#D0D0D0,118
95fdb1c4aded70e965ff26ea67335a1e,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae,0.99998522205786,f__Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,76
960d4fbe5f81ee95ec8e8cd9d1b70d59,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae,0.999805961161648,f__Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,76
96167f45e248dd3b82eeeae4d58acb52,d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae,0.99994726646828,f__Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#8A7A70,70
963dd22e5951187a017cb8fca4a58982,d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales,0.99986449798836,o__Lactobacillales,Bacteria,Firmicutes,Bacilli,Lactobacillales,<not present>,<not present>,#5875DE,55
